building_id,line_id,lat,lon,peak_load_kW,solar_capacity_kWp,battery_capacity_kWh,battery_power_kW,area,height,has_solar,has_battery,label_A,label_B,label_C,label_D,label_E,label_F,label_G,age_range_1945 - 1964,age_range_1965 - 1974,age_range_1975 - 1991,age_range_1992 - 2005,age_range_2006 - 2014,age_range_2015 and later,age_range_< 1945,building_function_non_residential,building_function_residential
1910352,L0001,0.21286471646232133,-0.30052887365573566,16.14465916552294,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,11.61198717806525,0.36227513347897805,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1910301,L0002,-0.8100894535292974,-0.6836883193503349,4.583057699732685,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,7.947096051397254,-0.6454715531201924,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1910572,L0003,1.2592453178240668,-2.1731804166472237,7.3340130862433295,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,7.028747462812233,0.47424698754555267,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1910500,L0001,0.46977458052873233,-0.47418489134035846,4.658946124188152,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,7.394386252711825,0.6981906956787014,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1910318,L0004,-0.1580537802905343,0.07425902112450125,7.698277523629566,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,5.940334320785542,0.36227513347897805,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1910525,L0001,0.9703193308777514,-0.7281219357419213,3.0956445804055512,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,3.3638563361442357,6.072839690874277,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1910565,L0005,-0.23536100382304917,-1.0829469014188107,2.1356560110439062,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,3.287327287095484,0.36227513347897805,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1910829,L0003,-3.9945223582726928,-2.779581220057581,4.2681207382425015,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,3.0492369122771454,1.481993674144723,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1910862,L0006,-0.9967200234742316,1.37914768800263,0.6937759463900514,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,2.4285012922150484,-1.2053308234530649,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1910612,L0002,-2.093077011768161,-1.047314146244946,0.1132294993057361,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,0.005081405671245082,-0.029626355754032812,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1910410,L0004,-0.09324065349245263,0.593724488116612,2.826240673588647,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,3.516914434241739,-1.3173026775196395,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1910312,L0001,-0.08621272407586614,-0.2679012906050047,1.0694236474446082,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,1.867288265857536,0.306289206445691,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1910781,L0001,0.5228744916417507,-0.6283072902248024,0.6292707856029052,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,1.6291978910391973,2.713684068877042,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1910545,L0005,-0.2142772155899352,-1.4993778956189892,1.4526601909447117,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,1.9693269979225383,-0.8694152612533416,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1910324,L0004,0.5322450641898013,0.18802625149870014,0.6292707856029052,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,2.011843136282956,-1.0933589693864905,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1910570,L0005,0.12931044456258983,-1.3916210094908672,0.9555910107614092,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,1.3315849225162741,0.08234549831254179,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1908122,L0006,-0.22286690709416446,1.4690881965438198,-0.1979130409616746,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,-0.2755251075075111,-0.14159820982060742,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1910355,L0001,0.018425336056979307,-0.07385303351386577,0.5344102550335726,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,1.2720623288116895,0.9221344038118506,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1910557,L0003,-2.102447584316212,-2.143772660871306,0.49267162158306627,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,1.0424751816654345,-0.3095559909204691,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1910535,L0005,0.6509389831502713,-1.2559589536483944,0.3105394028899478,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,1.050978409337518,0.810162549745276,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1910530,L0005,0.8992591557124531,-0.8541245097601443,0.20050118742952208,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,1.0679848646816852,1.426007747111436,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1910550,L0003,-1.3895031895040226,-1.7975339012604588,0.6748038402761849,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,1.1445139137304368,-0.981387115319916,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1910343,L0001,-0.4789958901112056,-0.6587883217591181,0.5723544672613057,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,1.119004230714186,1.8738951633777334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1910803,L0001,0.6728036524327551,-0.7255460739221468,0.9290300622019962,-0.41099466844793625,-0.2016505739187888,-0.20791736999267701,1.493146248285861,0.7541766227119889,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
